listed_company_id,operating_company_id,operating_company_name,stock_code,ticker,exchange,currency,fiscal_year_end_month,listed_from,listed_to,successor_listed_company_id,enabled,source,note
ANDO_HAZAMA,ANDO_HAZAMA,安藤・間,1719,1719.T,JPX,JPY,3,2015-01-01,,,true,company_master,上場継続
ASANUMA,ASANUMA,淺沼組,1852,1852.T,JPX,JPY,3,2015-01-01,,,true,company_master,上場継続
HASEKO,HASEKO,長谷工コーポレーション,1808,1808.T,JPX,JPY,3,2015-01-01,,,true,company_master,上場継続
INFR,INFR,インフロニア・ホールディングス,5076,5076.T,JPX,JPY,3,2021-10-01,,,true,company_master,2021-10-01上場。前田建設工業等の完全親会社
KAJIMA,KAJIMA,鹿島建設,1812,1812.T,JPX,JPY,3,2015-01-01,,,true,company_master,上場継続
KITANO,KITANO,北野建設,1866,1866.T,JPX,JPY,3,2015-01-01,,,true,company_master,上場継続
KUMAGAI,KUMAGAI,熊谷組,1861,1861.T,JPX,JPY,3,2015-01-01,,,true,company_master,上場継続
MAEDA,MAEDA,前田建設工業,1824,1824.T,JPX,JPY,3,2015-01-01,2021-09-29,INFR,true,manual_listing_event,2021-09-29上場廃止。2021-10-01インフロニアHD傘下
MATSUI,MATSUI,松井建設,1810,1810.T,JPX,JPY,3,2015-01-01,,,true,company_master,上場継続
NISHIMATSU,NISHIMATSU,西松建設,1820,1820.T,JPX,JPY,3,2015-01-01,,,true,company_master,上場継続
OBAYASHI,OBAYASHI,大林組,1802,1802.T,JPX,JPY,3,2015-01-01,,,true,company_master,上場継続
OKUMURA,OKUMURA,奥村組,1833,1833.T,JPX,JPY,3,2015-01-01,,,true,company_master,上場継続
PENTA,PENTA,五洋建設,1893,1893.T,JPX,JPY,3,2015-01-01,,,true,company_master,上場継続
SHIMIZU,SHIMIZU,清水建設,1803,1803.T,JPX,JPY,3,2015-01-01,,,true,company_master,上場継続
SMCC,SMCC,三井住友建設,1821,1821.T,JPX,JPY,3,2015-01-01,2025-12-19,INFR,true,manual_listing_event,2025-12-19上場廃止。インフロニアHD傘下
TAISEI,TAISEI,大成建設,1801,1801.T,JPX,JPY,3,2015-01-01,,,true,company_master,上場継続
TOA,TOA,東亜建設工業,1885,1885.T,JPX,JPY,3,2015-01-01,,,true,company_master,上場継続
TODA,TODA,戸田建設,1860,1860.T,JPX,JPY,3,2015-01-01,,,true,company_master,上場継続
TOKYU,TOKYU,東急建設,1720,1720.T,JPX,JPY,3,2015-01-01,,,true,company_master,上場継続
ZENITAKA,ZENITAKA,錢高組,1811,1811.T,JPX,JPY,3,2015-01-01,,,true,company_master,上場継続
